ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
217	10	1e5	1000	1	0.5	8
218	10	1e5	1000	2	0.5	8
219	10	1e5	500	1	0.5	8
220	10	1e5	500	2	0.5	8
221	10	1e5	100	1	0.5	8
222	10	1e5	100	2	0.5	8
223	20	1e5	1000	1	0.5	8
224	20	1e5	1000	2	0.5	8
225	20	1e5	500	1	0.5	8
226	20	1e5	500	2	0.5	8
227	20	1e5	100	1	0.5	8
228	20	1e5	100	2	0.5	8
229	Coal	1e5	1000	1	0.5	8
230	Coal	1e5	1000	2	0.5	8
231	Coal	1e5	500	1	0.5	8
232	Coal	1e5	500	2	0.5	8
233	Coal	1e5	100	1	0.5	8
234	Coal	1e5	100	2	0.5	8
235	Recap	1e5	1000	1	0.5	8
236	Recap	1e5	1000	2	0.5	8
237	Recap	1e5	500	1	0.5	8
238	Recap	1e5	500	2	0.5	8
239	Recap	1e5	100	1	0.5	8
240	Recap	1e5	100	2	0.5	8
241	5	1e5	1000	1	0.5	9
242	5	1e5	1000	2	0.5	9
243	5	1e5	500	1	0.5	9
244	5	1e5	500	2	0.5	9
245	5	1e5	100	1	0.5	9
246	5	1e5	100	2	0.5	9
247	10	1e5	1000	1	0.5	9
248	10	1e5	1000	2	0.5	9
249	10	1e5	500	1	0.5	9
250	10	1e5	500	2	0.5	9
251	10	1e5	100	1	0.5	9
252	10	1e5	100	2	0.5	9
253	20	1e5	1000	1	0.5	9
254	20	1e5	1000	2	0.5	9
255	20	1e5	500	1	0.5	9
256	20	1e5	500	2	0.5	9
257	20	1e5	100	1	0.5	9
258	20	1e5	100	2	0.5	9
259	Coal	1e5	1000	1	0.5	9
260	Coal	1e5	1000	2	0.5	9
261	Coal	1e5	500	1	0.5	9
262	Coal	1e5	500	2	0.5	9
263	Coal	1e5	100	1	0.5	9
264	Coal	1e5	100	2	0.5	9
265	Recap	1e5	1000	1	0.5	9
266	Recap	1e5	1000	2	0.5	9
267	Recap	1e5	500	1	0.5	9
268	Recap	1e5	500	2	0.5	9
269	Recap	1e5	100	1	0.5	9
270	Recap	1e5	100	2	0.5	9
271	5	1e5	1000	1	0.5	10
272	5	1e5	1000	2	0.5	10
273	5	1e5	500	1	0.5	10
274	5	1e5	500	2	0.5	10
275	5	1e5	100	1	0.5	10
276	5	1e5	100	2	0.5	10
277	10	1e5	1000	1	0.5	10
278	10	1e5	1000	2	0.5	10
279	10	1e5	500	1	0.5	10
280	10	1e5	500	2	0.5	10
281	10	1e5	100	1	0.5	10
282	10	1e5	100	2	0.5	10
283	20	1e5	1000	1	0.5	10
284	20	1e5	1000	2	0.5	10
285	20	1e5	500	1	0.5	10
286	20	1e5	500	2	0.5	10
287	20	1e5	100	1	0.5	10
288	20	1e5	100	2	0.5	10
289	Coal	1e5	1000	1	0.5	10
290	Coal	1e5	1000	2	0.5	10
291	Coal	1e5	500	1	0.5	10
292	Coal	1e5	500	2	0.5	10
293	Coal	1e5	100	1	0.5	10
294	Coal	1e5	100	2	0.5	10
295	Recap	1e5	1000	1	0.5	10
