ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
282	10	1e5	1	2	0.0	10
283	20	1e5	10	1	0.0	10
284	20	1e5	10	2	0.0	10
285	20	1e5	5	1	0.0	10
286	20	1e5	5	2	0.0	10
287	20	1e5	1	1	0.0	10
288	20	1e5	1	2	0.0	10
289	Coal	1e5	10	1	0.0	10
290	Coal	1e5	10	2	0.0	10
291	Coal	1e5	5	1	0.0	10
292	Coal	1e5	5	2	0.0	10
293	Coal	1e5	1	1	0.0	10
294	Coal	1e5	1	2	0.0	10
295	Recap	1e5	10	1	0.0	10
296	Recap	1e5	10	2	0.0	10
297	Recap	1e5	5	1	0.0	10
298	Recap	1e5	5	2	0.0	10
299	Recap	1e5	1	1	0.0	10
300	Recap	1e5	1	2	0.0	10
301	5	1e5	10	1	0.0	11
302	5	1e5	10	2	0.0	11
303	5	1e5	5	1	0.0	11
304	5	1e5	5	2	0.0	11
305	5	1e5	1	1	0.0	11
306	5	1e5	1	2	0.0	11
307	10	1e5	10	1	0.0	11
308	10	1e5	10	2	0.0	11
309	10	1e5	5	1	0.0	11
310	10	1e5	5	2	0.0	11
311	10	1e5	1	1	0.0	11
312	10	1e5	1	2	0.0	11
313	20	1e5	10	1	0.0	11
314	20	1e5	10	2	0.0	11
315	20	1e5	5	1	0.0	11
316	20	1e5	5	2	0.0	11
317	20	1e5	1	1	0.0	11
318	20	1e5	1	2	0.0	11
319	Coal	1e5	10	1	0.0	11
320	Coal	1e5	10	2	0.0	11
321	Coal	1e5	5	1	0.0	11
322	Coal	1e5	5	2	0.0	11
323	Coal	1e5	1	1	0.0	11
324	Coal	1e5	1	2	0.0	11
325	Recap	1e5	10	1	0.0	11
326	Recap	1e5	10	2	0.0	11
327	Recap	1e5	5	1	0.0	11
328	Recap	1e5	5	2	0.0	11
329	Recap	1e5	1	1	0.0	11
330	Recap	1e5	1	2	0.0	11
331	5	1e5	10	1	0.0	12
332	5	1e5	10	2	0.0	12
333	5	1e5	5	1	0.0	12
334	5	1e5	5	2	0.0	12
335	5	1e5	1	1	0.0	12
336	5	1e5	1	2	0.0	12
337	10	1e5	10	1	0.0	12
338	10	1e5	10	2	0.0	12
339	10	1e5	5	1	0.0	12
340	10	1e5	5	2	0.0	12
341	10	1e5	1	1	0.0	12
342	10	1e5	1	2	0.0	12
343	20	1e5	10	1	0.0	12
344	20	1e5	10	2	0.0	12
345	20	1e5	5	1	0.0	12
346	20	1e5	5	2	0.0	12
347	20	1e5	1	1	0.0	12
348	20	1e5	1	2	0.0	12
